2018-12-29 11:58:05[platform] INFO [main] DriverManagerDataSource.setDriverClassName(133) | Loaded JDBC driver: oracle.jdbc.driver.OracleDriver
2018-12-30 22:23:00[platform] INFO [pool-2-thread-1] XmlBeanDefinitionReader.loadBeanDefinitions(317) | Loading XML bean definitions from class path resource [org/springframework/jdbc/support/sql-error-codes.xml]
2018-12-30 22:23:00[platform] INFO [pool-2-thread-1] SQLErrorCodesFactory.<init>(126) | SQLErrorCodes loaded: [DB2, Derby, H2, HSQL, Informix, MS-SQL, MySQL, Oracle, PostgreSQL, Sybase, Hana]
2018-12-30 22:23:00[platform] INFO [pool-2-thread-1] DruidDataSource.init(947) | {dataSource-2} inited
2018-12-30 22:23:00[platform] INFO [pool-2-thread-1] DruidDataSource.init(947) | {dataSource-3} inited
2018-12-30 22:23:00[platform] INFO [pool-2-thread-1] LoggerUtils.info(18) | 序列化后的字节大小  : 3427
2018-12-30 22:23:00[platform] WARN [pool-2-thread-1] LoggerUtils.warn(39) | 当前查出的数据库位空! 错误信息:Incorrect result size: expected 1, actual 0
2018-12-30 22:23:00[platform] WARN [pool-2-thread-1] LoggerUtils.warn(39) | 列添加失败! 执行的sql: alter table test_copy_user add (jymc varchar2(255)),具体错误异常:StatementCallback; bad SQL grammar [alter table test_copy_user add (jymc varchar2(255))]; nested exception is com.mysql.jdbc.exceptions.jdbc4.MySQLSyntaxErrorException: You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'varchar2(255))' at line 1
2018-12-30 22:23:00[platform] WARN [pool-2-thread-1] LoggerUtils.warn(39) | 列添加失败! 执行的sql: alter table test_copy_user add (jybh varchar2(255)),具体错误异常:StatementCallback; bad SQL grammar [alter table test_copy_user add (jybh varchar2(255))]; nested exception is com.mysql.jdbc.exceptions.jdbc4.MySQLSyntaxErrorException: You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'varchar2(255))' at line 1
2018-12-30 22:23:00[platform] WARN [pool-2-thread-1] LoggerUtils.warn(39) | 列添加失败! 执行的sql: alter table test_copy_user add (SYNC_VERSION_CHECK_ varchar2(55)),具体错误异常:StatementCallback; bad SQL grammar [alter table test_copy_user add (SYNC_VERSION_CHECK_ varchar2(55))]; nested exception is com.mysql.jdbc.exceptions.jdbc4.MySQLSyntaxErrorException: You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'varchar2(55))' at line 1
2018-12-30 22:23:00[platform] WARN [pool-2-thread-1] LoggerUtils.warn(39) | 当前查出的数据库位空! 错误信息:Incorrect result size: expected 1, actual 0
2018-12-30 22:23:01[platform] INFO [pool-2-thread-1] LoggerUtils.info(18) | [开始同步..] 表名:test_copy_user,数据源名称:home_mysql_master,数据源编号:home_mysql_master
2018-12-30 22:23:01[platform] ERROR [pool-4-thread-4] LoggerUtils.error(32) | 当前这条数据已经存在或sql有错误,具体的错误信息:PreparedStatementCallback; bad SQL grammar [INSERT INTO test_copy_user(ID,PASSWORD,AGE,AGENT,CREATE_DATE,JYMC,JYBH,SYNC_VERSION_CHECK_) VALUES(?,?,?,?,?,?,?,?)]; nested exception is com.mysql.jdbc.exceptions.jdbc4.MySQLSyntaxErrorException: Unknown column 'JYMC' in 'field list'
2018-12-30 22:23:01[platform] ERROR [pool-4-thread-2] LoggerUtils.error(32) | 当前这条数据已经存在或sql有错误,具体的错误信息:PreparedStatementCallback; bad SQL grammar [INSERT INTO test_copy_user(ID,PASSWORD,AGE,AGENT,CREATE_DATE,JYMC,JYBH,SYNC_VERSION_CHECK_) VALUES(?,?,?,?,?,?,?,?)]; nested exception is com.mysql.jdbc.exceptions.jdbc4.MySQLSyntaxErrorException: Unknown column 'JYMC' in 'field list'
2018-12-30 22:23:01[platform] ERROR [pool-4-thread-3] LoggerUtils.error(32) | 当前这条数据已经存在或sql有错误,具体的错误信息:PreparedStatementCallback; bad SQL grammar [INSERT INTO test_copy_user(ID,PASSWORD,AGE,AGENT,CREATE_DATE,JYMC,JYBH,SYNC_VERSION_CHECK_) VALUES(?,?,?,?,?,?,?,?)]; nested exception is com.mysql.jdbc.exceptions.jdbc4.MySQLSyntaxErrorException: Unknown column 'JYMC' in 'field list'
2018-12-30 22:23:01[platform] ERROR [pool-4-thread-5] LoggerUtils.error(32) | 当前这条数据已经存在或sql有错误,具体的错误信息:PreparedStatementCallback; bad SQL grammar [INSERT INTO test_copy_user(ID,PASSWORD,AGE,AGENT,CREATE_DATE,JYMC,JYBH,SYNC_VERSION_CHECK_) VALUES(?,?,?,?,?,?,?,?)]; nested exception is com.mysql.jdbc.exceptions.jdbc4.MySQLSyntaxErrorException: Unknown column 'JYMC' in 'field list'
2018-12-30 22:23:01[platform] ERROR [pool-4-thread-1] LoggerUtils.error(32) | 当前这条数据已经存在或sql有错误,具体的错误信息:PreparedStatementCallback; bad SQL grammar [INSERT INTO test_copy_user(ID,PASSWORD,AGE,AGENT,CREATE_DATE,JYMC,JYBH,SYNC_VERSION_CHECK_) VALUES(?,?,?,?,?,?,?,?)]; nested exception is com.mysql.jdbc.exceptions.jdbc4.MySQLSyntaxErrorException: Unknown column 'JYMC' in 'field list'
2018-12-30 22:23:01[platform] ERROR [pool-4-thread-4] LoggerUtils.error(32) | 当前这条数据已经存在或sql有错误,具体的错误信息:PreparedStatementCallback; bad SQL grammar [INSERT INTO test_copy_user(ID,PASSWORD,AGE,AGENT,CREATE_DATE,JYMC,JYBH,SYNC_VERSION_CHECK_) VALUES(?,?,?,?,?,?,?,?)]; nested exception is com.mysql.jdbc.exceptions.jdbc4.MySQLSyntaxErrorException: Unknown column 'JYMC' in 'field list'
2018-12-30 22:23:01[platform] ERROR [pool-4-thread-2] LoggerUtils.error(32) | 当前这条数据已经存在或sql有错误,具体的错误信息:PreparedStatementCallback; bad SQL grammar [INSERT INTO test_copy_user(ID,PASSWORD,AGE,AGENT,CREATE_DATE,JYMC,JYBH,SYNC_VERSION_CHECK_) VALUES(?,?,?,?,?,?,?,?)]; nested exception is com.mysql.jdbc.exceptions.jdbc4.MySQLSyntaxErrorException: Unknown column 'JYMC' in 'field list'
2018-12-30 22:23:01[platform] ERROR [pool-2-thread-1] LoggerUtils.error(32) | 这是同步入口最外层  BaseCore ,最后向外抛出的 RuntimeException 异常. 表名:test_copy_user,数据源名称:home_mysql_master,数据源编号:home_mysql_master 第49 行 抛出的错误信息: PreparedStatementCallback; bad SQL grammar [DELETE FROM test_copy_user WHERE SYNC_VERSION_CHECK_ in(?) or SYNC_VERSION_CHECK_ is null or SYNC_VERSION_CHECK_='']; nested exception is com.mysql.jdbc.exceptions.jdbc4.MySQLSyntaxErrorException: Unknown column 'SYNC_VERSION_CHECK_' in 'where clause'
2018-12-30 22:24:20[platform] INFO [main] LoggerUtils.info(18) | sync.data.source.loader.model 加载成功
2018-12-30 22:24:20[platform] INFO [main] LoggerUtils.info(18) | 通过xml的形式加载所有数据源成功!!,配置文件:D:/software/helpProgramming/git_client/git/workspace_directory/job_directory/sync_data_db_workspace/bjhy_data_sync_db/data-sync-db/config/db.xml
2018-12-30 22:24:20[platform] INFO [main] DriverManagerDataSource.setDriverClassName(133) | Loaded JDBC driver: com.mysql.jdbc.Driver
2018-12-30 22:24:20[platform] INFO [main] LoggerUtils.info(18) | 通过xml的形式加载所有数据源成功!!,配置文件:D:/software/helpProgramming/git_client/git/workspace_directory/job_directory/sync_data_db_workspace/bjhy_data_sync_db/data-sync-db/config/db.xml
2018-12-30 22:24:20[platform] INFO [main] DriverManagerDataSource.setDriverClassName(133) | Loaded JDBC driver: com.mysql.jdbc.Driver
2018-12-30 22:24:20[platform] INFO [main] LoggerUtils.info(18) | 通过xml的形式加载所有数据源成功!!,配置文件:D:/software/helpProgramming/git_client/git/workspace_directory/job_directory/sync_data_db_workspace/bjhy_data_sync_db/data-sync-db/config/db.xml
2018-12-30 22:24:20[platform] INFO [main] DriverManagerDataSource.setDriverClassName(133) | Loaded JDBC driver: com.mysql.jdbc.Driver
2018-12-30 22:24:21[platform] INFO [main] DruidDataSource.init(947) | {dataSource-1} inited
2018-12-30 22:24:21[platform] INFO [main] LoggerUtils.info(18) | version_check 表已经存在!Table 'version_check' already exists
2018-12-30 22:24:21[platform] INFO [main] LoggerUtils.info(18) | step_store 表已经存在!Table 'step_store' already exists
2018-12-30 22:24:35[platform] INFO [pool-2-thread-1] XmlBeanDefinitionReader.loadBeanDefinitions(317) | Loading XML bean definitions from class path resource [org/springframework/jdbc/support/sql-error-codes.xml]
2018-12-30 22:24:36[platform] INFO [pool-2-thread-1] SQLErrorCodesFactory.<init>(126) | SQLErrorCodes loaded: [DB2, Derby, H2, HSQL, Informix, MS-SQL, MySQL, Oracle, PostgreSQL, Sybase, Hana]
2018-12-30 22:24:36[platform] INFO [pool-2-thread-1] DruidDataSource.init(947) | {dataSource-2} inited
2018-12-30 22:24:36[platform] INFO [pool-2-thread-1] DruidDataSource.init(947) | {dataSource-3} inited
2018-12-30 22:24:36[platform] INFO [pool-2-thread-1] LoggerUtils.info(18) | 序列化后的字节大小  : 3427
2018-12-30 22:24:55[platform] WARN [pool-2-thread-1] LoggerUtils.warn(39) | 列添加失败! 执行的sql: alter table test_copy_user add (jymc varchar2(255)),具体错误异常:StatementCallback; bad SQL grammar [alter table test_copy_user add (jymc varchar2(255))]; nested exception is com.mysql.jdbc.exceptions.jdbc4.MySQLSyntaxErrorException: You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'varchar2(255))' at line 1
2018-12-30 22:24:55[platform] WARN [pool-2-thread-1] LoggerUtils.warn(39) | 列添加失败! 执行的sql: alter table test_copy_user add (jybh varchar2(255)),具体错误异常:StatementCallback; bad SQL grammar [alter table test_copy_user add (jybh varchar2(255))]; nested exception is com.mysql.jdbc.exceptions.jdbc4.MySQLSyntaxErrorException: You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'varchar2(255))' at line 1
2018-12-30 22:24:55[platform] WARN [pool-2-thread-1] LoggerUtils.warn(39) | 列添加失败! 执行的sql: alter table test_copy_user add (SYNC_VERSION_CHECK_ varchar2(55)),具体错误异常:StatementCallback; bad SQL grammar [alter table test_copy_user add (SYNC_VERSION_CHECK_ varchar2(55))]; nested exception is com.mysql.jdbc.exceptions.jdbc4.MySQLSyntaxErrorException: You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'varchar2(55))' at line 1
2018-12-30 22:25:29[platform] INFO [main] LoggerUtils.info(18) | sync.data.source.loader.model 加载成功
2018-12-30 22:25:29[platform] INFO [main] LoggerUtils.info(18) | 通过xml的形式加载所有数据源成功!!,配置文件:D:/software/helpProgramming/git_client/git/workspace_directory/job_directory/sync_data_db_workspace/bjhy_data_sync_db/data-sync-db/config/db.xml
2018-12-30 22:25:30[platform] INFO [main] DriverManagerDataSource.setDriverClassName(133) | Loaded JDBC driver: com.mysql.jdbc.Driver
2018-12-30 22:25:30[platform] INFO [main] LoggerUtils.info(18) | 通过xml的形式加载所有数据源成功!!,配置文件:D:/software/helpProgramming/git_client/git/workspace_directory/job_directory/sync_data_db_workspace/bjhy_data_sync_db/data-sync-db/config/db.xml
2018-12-30 22:25:30[platform] INFO [main] DriverManagerDataSource.setDriverClassName(133) | Loaded JDBC driver: com.mysql.jdbc.Driver
2018-12-30 22:25:30[platform] INFO [main] LoggerUtils.info(18) | 通过xml的形式加载所有数据源成功!!,配置文件:D:/software/helpProgramming/git_client/git/workspace_directory/job_directory/sync_data_db_workspace/bjhy_data_sync_db/data-sync-db/config/db.xml
2018-12-30 22:25:30[platform] INFO [main] DriverManagerDataSource.setDriverClassName(133) | Loaded JDBC driver: com.mysql.jdbc.Driver
2018-12-30 22:25:30[platform] INFO [main] DruidDataSource.init(947) | {dataSource-1} inited
2018-12-30 22:25:30[platform] INFO [main] LoggerUtils.info(18) | version_check 表已经存在!Table 'version_check' already exists
2018-12-30 22:25:30[platform] INFO [main] LoggerUtils.info(18) | step_store 表已经存在!Table 'step_store' already exists
2018-12-30 22:25:33[platform] INFO [pool-2-thread-1] XmlBeanDefinitionReader.loadBeanDefinitions(317) | Loading XML bean definitions from class path resource [org/springframework/jdbc/support/sql-error-codes.xml]
2018-12-30 22:25:33[platform] INFO [pool-2-thread-1] SQLErrorCodesFactory.<init>(126) | SQLErrorCodes loaded: [DB2, Derby, H2, HSQL, Informix, MS-SQL, MySQL, Oracle, PostgreSQL, Sybase, Hana]
2018-12-30 22:25:33[platform] INFO [pool-2-thread-1] DruidDataSource.init(947) | {dataSource-2} inited
2018-12-30 22:25:33[platform] INFO [pool-2-thread-1] DruidDataSource.init(947) | {dataSource-3} inited
2018-12-30 22:25:33[platform] INFO [pool-2-thread-1] LoggerUtils.info(18) | 序列化后的字节大小  : 3427
2018-12-30 22:25:42[platform] WARN [pool-2-thread-1] LoggerUtils.warn(39) | 列添加失败! 执行的sql: alter table test_copy_user add (jymc varchar2(255)),具体错误异常:StatementCallback; bad SQL grammar [alter table test_copy_user add (jymc varchar2(255))]; nested exception is com.mysql.jdbc.exceptions.jdbc4.MySQLSyntaxErrorException: You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'varchar2(255))' at line 1
2018-12-30 22:25:42[platform] WARN [pool-2-thread-1] LoggerUtils.warn(39) | 列添加失败! 执行的sql: alter table test_copy_user add (jybh varchar2(255)),具体错误异常:StatementCallback; bad SQL grammar [alter table test_copy_user add (jybh varchar2(255))]; nested exception is com.mysql.jdbc.exceptions.jdbc4.MySQLSyntaxErrorException: You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'varchar2(255))' at line 1
2018-12-30 22:25:42[platform] WARN [pool-2-thread-1] LoggerUtils.warn(39) | 列添加失败! 执行的sql: alter table test_copy_user add (SYNC_VERSION_CHECK_ varchar2(55)),具体错误异常:StatementCallback; bad SQL grammar [alter table test_copy_user add (SYNC_VERSION_CHECK_ varchar2(55))]; nested exception is com.mysql.jdbc.exceptions.jdbc4.MySQLSyntaxErrorException: You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'varchar2(55))' at line 1
2018-12-30 22:26:06[platform] INFO [main] LoggerUtils.info(18) | sync.data.source.loader.model 加载成功
2018-12-30 22:26:06[platform] INFO [main] LoggerUtils.info(18) | 通过xml的形式加载所有数据源成功!!,配置文件:D:/software/helpProgramming/git_client/git/workspace_directory/job_directory/sync_data_db_workspace/bjhy_data_sync_db/data-sync-db/config/db.xml
2018-12-30 22:26:06[platform] INFO [main] DriverManagerDataSource.setDriverClassName(133) | Loaded JDBC driver: com.mysql.jdbc.Driver
2018-12-30 22:26:06[platform] INFO [main] LoggerUtils.info(18) | 通过xml的形式加载所有数据源成功!!,配置文件:D:/software/helpProgramming/git_client/git/workspace_directory/job_directory/sync_data_db_workspace/bjhy_data_sync_db/data-sync-db/config/db.xml
2018-12-30 22:26:06[platform] INFO [main] DriverManagerDataSource.setDriverClassName(133) | Loaded JDBC driver: com.mysql.jdbc.Driver
2018-12-30 22:26:06[platform] INFO [main] LoggerUtils.info(18) | 通过xml的形式加载所有数据源成功!!,配置文件:D:/software/helpProgramming/git_client/git/workspace_directory/job_directory/sync_data_db_workspace/bjhy_data_sync_db/data-sync-db/config/db.xml
2018-12-30 22:26:06[platform] INFO [main] DriverManagerDataSource.setDriverClassName(133) | Loaded JDBC driver: com.mysql.jdbc.Driver
2018-12-30 22:26:06[platform] INFO [main] DruidDataSource.init(947) | {dataSource-1} inited
2018-12-30 22:26:06[platform] INFO [main] LoggerUtils.info(18) | version_check 表已经存在!Table 'version_check' already exists
2018-12-30 22:26:06[platform] INFO [main] LoggerUtils.info(18) | step_store 表已经存在!Table 'step_store' already exists
2018-12-30 22:26:10[platform] INFO [pool-2-thread-1] XmlBeanDefinitionReader.loadBeanDefinitions(317) | Loading XML bean definitions from class path resource [org/springframework/jdbc/support/sql-error-codes.xml]
2018-12-30 22:26:11[platform] INFO [pool-2-thread-1] SQLErrorCodesFactory.<init>(126) | SQLErrorCodes loaded: [DB2, Derby, H2, HSQL, Informix, MS-SQL, MySQL, Oracle, PostgreSQL, Sybase, Hana]
2018-12-30 22:26:11[platform] INFO [pool-2-thread-1] DruidDataSource.init(947) | {dataSource-2} inited
2018-12-30 22:26:11[platform] INFO [pool-2-thread-1] DruidDataSource.init(947) | {dataSource-3} inited
2018-12-30 22:26:11[platform] INFO [pool-2-thread-1] LoggerUtils.info(18) | 序列化后的字节大小  : 3427
2018-12-30 22:28:03[platform] INFO [pool-2-thread-1] LoggerUtils.info(18) | [开始同步..] 表名:test_copy_user,数据源名称:home_mysql_master,数据源编号:home_mysql_master
2018-12-30 22:28:15[platform] INFO [pool-2-thread-1] LoggerUtils.info(18) | [同步结束] 表名:test_copy_user,数据源名称:home_mysql_master,数据源编号:home_mysql_master
2018-12-30 22:31:30[platform] INFO [main] LoggerUtils.info(18) | sync.data.source.loader.model 加载成功
2018-12-30 22:31:30[platform] INFO [main] LoggerUtils.info(18) | 通过xml的形式加载所有数据源成功!!,配置文件:D:/software/helpProgramming/git_client/git/workspace_directory/job_directory/sync_data_db_workspace/bjhy_data_sync_db/data-sync-db/config/db.xml
2018-12-30 22:31:31[platform] INFO [main] DriverManagerDataSource.setDriverClassName(133) | Loaded JDBC driver: com.mysql.jdbc.Driver
2018-12-30 22:31:31[platform] INFO [main] LoggerUtils.info(18) | 通过xml的形式加载所有数据源成功!!,配置文件:D:/software/helpProgramming/git_client/git/workspace_directory/job_directory/sync_data_db_workspace/bjhy_data_sync_db/data-sync-db/config/db.xml
2018-12-30 22:31:31[platform] INFO [main] DriverManagerDataSource.setDriverClassName(133) | Loaded JDBC driver: com.mysql.jdbc.Driver
2018-12-30 22:31:31[platform] INFO [main] LoggerUtils.info(18) | 通过xml的形式加载所有数据源成功!!,配置文件:D:/software/helpProgramming/git_client/git/workspace_directory/job_directory/sync_data_db_workspace/bjhy_data_sync_db/data-sync-db/config/db.xml
2018-12-30 22:31:31[platform] INFO [main] DriverManagerDataSource.setDriverClassName(133) | Loaded JDBC driver: com.mysql.jdbc.Driver
2018-12-30 22:31:32[platform] INFO [main] DruidDataSource.init(947) | {dataSource-1} inited
2018-12-30 22:31:32[platform] INFO [main] LoggerUtils.info(18) | version_check 表已经存在!Table 'version_check' already exists
2018-12-30 22:31:32[platform] INFO [main] LoggerUtils.info(18) | step_store 表已经存在!Table 'step_store' already exists
2018-12-30 22:31:37[platform] INFO [pool-2-thread-1] XmlBeanDefinitionReader.loadBeanDefinitions(317) | Loading XML bean definitions from class path resource [org/springframework/jdbc/support/sql-error-codes.xml]
2018-12-30 22:31:38[platform] INFO [pool-2-thread-1] SQLErrorCodesFactory.<init>(126) | SQLErrorCodes loaded: [DB2, Derby, H2, HSQL, Informix, MS-SQL, MySQL, Oracle, PostgreSQL, Sybase, Hana]
2018-12-30 22:31:38[platform] INFO [pool-2-thread-1] DruidDataSource.init(947) | {dataSource-2} inited
2018-12-30 22:31:38[platform] INFO [pool-2-thread-1] DruidDataSource.init(947) | {dataSource-3} inited
2018-12-30 22:31:38[platform] INFO [pool-2-thread-1] LoggerUtils.info(18) | 序列化后的字节大小  : 3427
2018-12-30 22:31:46[platform] INFO [pool-2-thread-1] LoggerUtils.info(18) | [开始同步..] 表名:test_copy_user,数据源名称:home_mysql_master,数据源编号:home_mysql_master
2018-12-30 22:32:30[platform] INFO [main] LoggerUtils.info(18) | sync.data.source.loader.model 加载成功
2018-12-30 22:32:30[platform] INFO [main] LoggerUtils.info(18) | 通过xml的形式加载所有数据源成功!!,配置文件:D:/software/helpProgramming/git_client/git/workspace_directory/job_directory/sync_data_db_workspace/bjhy_data_sync_db/data-sync-db/config/db.xml
2018-12-30 22:32:30[platform] INFO [main] DriverManagerDataSource.setDriverClassName(133) | Loaded JDBC driver: com.mysql.jdbc.Driver
2018-12-30 22:32:30[platform] INFO [main] LoggerUtils.info(18) | 通过xml的形式加载所有数据源成功!!,配置文件:D:/software/helpProgramming/git_client/git/workspace_directory/job_directory/sync_data_db_workspace/bjhy_data_sync_db/data-sync-db/config/db.xml
2018-12-30 22:32:30[platform] INFO [main] DriverManagerDataSource.setDriverClassName(133) | Loaded JDBC driver: com.mysql.jdbc.Driver
2018-12-30 22:32:30[platform] INFO [main] LoggerUtils.info(18) | 通过xml的形式加载所有数据源成功!!,配置文件:D:/software/helpProgramming/git_client/git/workspace_directory/job_directory/sync_data_db_workspace/bjhy_data_sync_db/data-sync-db/config/db.xml
2018-12-30 22:32:30[platform] INFO [main] DriverManagerDataSource.setDriverClassName(133) | Loaded JDBC driver: com.mysql.jdbc.Driver
